a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.0-1
absolutely-proprietary 20220518-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aha 0.5.1-2
akonadi 22.04.3-1
akonadi-calendar 22.04.3-1
akonadi-calendar-tools 22.04.3-1
akonadi-contacts 22.04.3-1
akonadi-import-wizard 22.04.3-1
akonadi-mime 22.04.3-1
akonadi-notes 22.04.3-1
akonadi-search 22.04.3-1
akonadiconsole 22.04.3-1
alacritty 0.10.1-2
alembic 1.8.3-3
alsa-card-profiles 1:0.3.56-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
amdvlk 2022.Q3.1-1
aom 3.4.0-1
apache 2.4.54-1
apg 2.2.3-5
apparmor 3.0.6-1
appstream 0.15.4-1
appstream-glib 0.8.0-1
appstream-qt 0.15.4-1
apr 1.7.0-3
apr-util 1.6.1-9
archlinux-appstream-data 20220727-1
archlinux-keyring 20220727-1
arduino 1:1.8.19-1
arduino-builder 1.6.1-2
arduino-ctags 5.8_arduino11-4
arduino-docs 1.6.6-7
argon2 20190702-4
ark 22.04.3-1
arp-scan 1.9.7-2
asciidoc 10.2.0-1
aseprite-git 1.2.30.r24.ge7575f237-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
attica 5.96.0-1
attr 2.5.1-2
audiocd-kio 22.04.3-1
audiofile 0.3.6-6
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
autoconf2.13 2.13-6
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
avr-binutils 2.38-2
avr-gcc 12.1.0-1
avr-libc 2.1.0-1
avrdude 1:7.0-2
babl 0.1.92-1
baloo 5.96.0-1
baloo-widgets 22.04.3-1
base 3-1
bash 5.1.016-1
bc 1.07.1-4
bcg729 1.1.1-1
betterdiscord-git 1.5.2.r0.g7bdf2b6-1
binutils 2.38-7
bison 3.8.2-4
blas 3.10.1-1
blender 17:3.2.2-1
blosc 1.21.1-2
bluedevil 1:5.25.4-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-qt 5.96.0-1
bmon 4.0-4
bolt 0.9.2-1
boost 1.79.0-1
boost-libs 1.79.0-1
breeze 5.25.4-1
breeze-gtk 5.25.4-1
breeze-icons 5.96.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-8
btop 1.2.8-1
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
byobu 5.133-3
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.81-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.6-2
cairomm 1.14.3-2
calendarsupport 22.04.3-1
cantarell-fonts 1:0.303.1-1
catch2 2.13.9-1
cava 0.8.2-3
cbindgen 0.24.3-1
cblas 3.10.1-1
ccze 0.2.1-12
cdparanoia 10.2-8
cdrtools 3.02a09-5
celt 0.11.3-5
cemu 1.26.2-6
